time,seconds_elapsed,z,y,x
1772789799400832300,0.280832275390625,-0.007282257080078125,0.021757036447525024,0.003924369812011719
1772789799420931800,0.300931884765625,0.011898040771484375,-0.026060909032821655,-0.00128173828125
1772789799441031400,0.321031494140625,0.0022907257080078125,-0.02101072669029236,-0.0057087242603302
1772789799461131000,0.341131103515625,-0.04023170471191406,0.012564688920974731,0.01345902681350708
1772789799481230600,0.361230712890625,-0.021087646484375,-0.0015145838260650635,-0.005485057830810547
1772789799501330200,0.381330078125,-0.0211029052734375,-0.006101459264755249,0.02341562509536743
1772789799521429800,0.4014296875,-0.012119293212890625,-0.0054159462451934814,0.03170141577720642
1772789799541529300,0.421529296875,-0.01691722869873047,-0.0008429884910583496,0.00806117057800293
1772789799561629200,0.441629150390625,-0.007328987121582031,-0.010382622480392456,0.0031152665615081787
1772789799581728800,0.461728759765625,-0.026500701904296875,-0.0006468296051025391,0.007954716682434082
1772789799601828400,0.481828369140625,-0.026511192321777344,-0.00045564770698547363,0.008014470338821411
1772789799621928000,0.501927978515625,-0.01694965362548828,-0.03374561667442322,-0.010878235101699829
1772789799642027500,0.522027587890625,-0.026536941528320312,-0.02428978681564331,-0.039451420307159424
1772789799662127000,0.542127197265625,-0.016931533813476562,-0.028938859701156616,-0.011272937059402466
1772789799682226200,0.56222607421875,-0.002582550048828125,-0.04800844192504883,0.013105690479278564
1772789799702325000,0.582324951171875,-0.012166976928710938,-0.028637409210205078,0.00341719388961792
1772789799722423800,0.602423828125,-0.012177467346191406,-0.004695385694503784,0.009019792079925537
1772789799742522600,0.622522705078125,-0.021758079528808594,0.04759347438812256,0.018447965383529663
1772789799762621400,0.642621337890625,-0.040343284606933594,0.06666657328605652,0.028512686491012573
1772789799782720300,0.66272021484375,-0.03555107116699219,0.04284900426864624,0.037988096475601196
1772789799802819000,0.682819091796875,-0.025995254516601562,0.014242172241210938,0.014456391334533691
1772789799822918000,0.70291796875,-0.01700878143310547,-0.004333049058914185,0.00003337860107421875
1772789799843016700,0.7230166015625,-0.035602569580078125,-0.03756469488143921,-0.0331246554851532
1772789799863115500,0.743115478515625,-0.021221160888671875,-0.04220423102378845,-0.01905876398086548
1772789799883214300,0.76321435546875,-0.012253761291503906,-0.018261879682540894,-0.009154468774795532
1772789799903313200,0.783313232421875,-0.0026884078979492188,-0.01327696442604065,-0.03288504481315613
1772789799923412200,0.803412109375,-0.03140449523925781,0.020335763692855835,0.018544495105743408
1772789799943511000,0.823510986328125,-0.026645660400390625,-0.003425896167755127,0.04302206635475159
1772789799963609900,0.84360986328125,-0.0027065277099609375,0.020612001419067383,0.009753406047821045
1772789799983708700,0.863708740234375,-0.012284278869628906,0.054223716259002686,0.028162628412246704
1772789800003807500,0.883807373046875,-0.026668548583984375,-0.003224313259124756,0.009208500385284424
1772789800023906300,0.90390625,-0.012308120727539062,-0.0127602219581604,-0.00016123056411743164
1772789800044005000,0.924005126953125,-0.0027332305908203125,0.0017998218536376953,-0.004938900470733643
1772789800064104000,0.94410400390625,-0.026688575744628906,-0.021450430154800415,-0.00020185112953186035
1772789800084202800,0.96420263671875,-0.03628063201904297,-0.011880189180374146,0.009593099355697632
1772789800104301600,0.984301513671875,-0.041085243225097656,0.02113652229309082,0.005020022392272949
1772789800124400400,1.004400390625,0.001438140869140625,0.02606511116027832,0.00007611513137817383
1772789800144499200,1.024499267578125,-0.0027475357055664062,0.02135053277015686,-0.0001214742660522461
1772789800164598000,1.044597900390625,-0.0410919189453125,0.016586869955062866,0.014571011066436768
1772789800184697000,1.064697021484375,-0.01715373992919922,0.01673668622970581,0.005246400833129883
1772789800204796200,1.084796142578125,-0.007569313049316406,-0.006629228591918945,0.014775514602661133
1772789800224895200,1.104895263671875,-0.012353897094726562,-0.030638515949249268,0.000302046537399292
1772789800244994300,1.124994384765625,-0.017160415649414062,0.0031495392322540283,0.014829695224761963
1772789800265093000,1.145093017578125,-0.021947860717773438,-0.01132667064666748,-0.0043360888957977295
1772789800285192200,1.165192138671875,-0.007564544677734375,-0.006558090448379517,-0.004530400037765503
1772789800305291300,1.185291259765625,-0.0459136962890625,-0.0016768276691436768,0.015000581741333008
1772789800325390300,1.205390380859375,-0.02675151824951172,0.011928141117095947,0.015152513980865479
1772789800345489400,1.225489501953125,-0.012383460998535156,0.021487176418304443,0.01046842336654663
1772789800365588500,1.24558837890625,-0.012373924255371094,0.002958834171295166,0.01983928680419922
1772789800385687600,1.2656875,-0.021956443786621094,0.0028405189514160156,0.0007840991020202637
1772789800405786400,1.285786376953125,-0.012969017028808594,0.0028745830059051514,0.0000883638858795166
