time,seconds_elapsed,z,y,x
1772716987608241700,0.05924169921875,-0.9895782470703125,-0.140289306640625,-0.0544586181640625
1772716987628272600,0.079272705078125,-0.9982147216796875,-0.1301116943359375,-0.0406646728515625
1772716987648303600,0.0993037109375,-1.0091552734375,-0.1161346435546875,-0.05517578125
1772716987668334600,0.11933447265625,-1.0012969970703125,-0.102203369140625,-0.0718841552734375
1772716987688365600,0.139365478515625,-0.978729248046875,-0.1009674072265625,-0.086090087890625
1772716987708396800,0.159396728515625,-0.9656524658203125,-0.1048583984375,-0.0901641845703125
1772716987728427800,0.179427734375,-0.9560699462890625,-0.1094970703125,-0.086639404296875
1772716987748457700,0.199457763671875,-0.9615325927734375,-0.1111602783203125,-0.0866241455078125
1772716987768488700,0.21948876953125,-0.976348876953125,-0.1087188720703125,-0.083953857421875
1772716987788519700,0.239519775390625,-0.9885101318359375,-0.1108856201171875,-0.072967529296875
1772716987808551000,0.259551025390625,-1.00738525390625,-0.1118621826171875,-0.06414794921875
1772716987828582000,0.279581787109375,-1.0224761962890625,-0.119476318359375,-0.0548095703125
1772716987848612900,0.29961279296875,-1.0076446533203125,-0.121917724609375,-0.051788330078125
1772716987868643800,0.319643798828125,-0.9939727783203125,-0.118499755859375,-0.05902099609375
1772716987888674800,0.3396748046875,-0.9821929931640625,-0.1132965087890625,-0.0701904296875
1772716987908705800,0.359705810546875,-0.9717559814453125,-0.1120147705078125,-0.0745086669921875
1772716987928736800,0.37973681640625,-0.96832275390625,-0.1097869873046875,-0.080718994140625
1772716987948767700,0.399767822265625,-0.9827423095703125,-0.1067962646484375,-0.0806427001953125
1772716987968798700,0.419798828125,-0.9946746826171875,-0.10333251953125,-0.077789306640625
1772716987988829700,0.43982958984375,-1.0059661865234375,-0.1039581298828125,-0.081573486328125
1772716988008861000,0.45986083984375,-1.00958251953125,-0.107696533203125,-0.08148193359375
1772716988028892000,0.479891845703125,-1.0146942138671875,-0.10791015625,-0.080902099609375
1772716988048923000,0.4999228515625,-1.0252838134765625,-0.1078033447265625,-0.07904052734375
1772716988068953900,0.519953857421875,-1.0165863037109375,-0.1107177734375,-0.0770721435546875
1772716988088984800,0.53998486328125,-1.0008544921875,-0.115447998046875,-0.07470703125
1772716988109015800,0.560015869140625,-0.9852142333984375,-0.118316650390625,-0.0687408447265625
1772716988129046800,0.580046875,-0.9734649658203125,-0.1170806884765625,-0.0780792236328125
1772716988149077800,0.600077880859375,-0.970245361328125,-0.1160888671875,-0.082550048828125
1772716988169108700,0.620108642578125,-0.9606781005859375,-0.1197662353515625,-0.074951171875
1772716988189139700,0.6401396484375,-0.96038818359375,-0.1212005615234375,-0.0652313232421875
1772716988209171000,0.6601708984375,-0.9810333251953125,-0.1170806884765625,-0.059661865234375
1772716988229202000,0.680201904296875,-1.0081787109375,-0.106781005859375,-0.057220458984375
1772716988249233000,0.70023291015625,-1.01885986328125,-0.104705810546875,-0.06854248046875
1772716988269264000,0.720263916015625,-1.004547119140625,-0.1033172607421875,-0.0670928955078125
1772716988289294600,0.740294677734375,-1.0048828125,-0.1075592041015625,-0.0699920654296875
1772716988309325600,0.76032568359375,-0.9983978271484375,-0.11248779296875,-0.0696563720703125
1772716988329356500,0.7803564453125,-0.985870361328125,-0.110565185546875,-0.070831298828125
1772716988349387500,0.800387451171875,-0.98980712890625,-0.1063995361328125,-0.0772247314453125
1772716988369418500,0.82041845703125,-1.0008087158203125,-0.106475830078125,-0.07708740234375
1772716988389449700,0.84044970703125,-1.0013885498046875,-0.1106719970703125,-0.0738372802734375
1772716988409480700,0.860480712890625,-0.9902801513671875,-0.1127471923828125,-0.0669708251953125
1772716988429511700,0.88051171875,-0.9843292236328125,-0.1170501708984375,-0.0676116943359375
1772716988449542700,0.900542724609375,-0.980743408203125,-0.1106414794921875,-0.067535400390625
1772716988469573600,0.92057373046875,-0.9840087890625,-0.1080780029296875,-0.071044921875
1772716988489604600,0.9406044921875,-0.995758056640625,-0.110931396484375,-0.0688018798828125
1772716988509635600,0.960635498046875,-0.990509033203125,-0.1131439208984375,-0.067626953125
1772716988529666600,0.98066650390625,-0.986602783203125,-0.1107940673828125,-0.0727081298828125
1772716988549697500,1.000697509765625,-0.98406982421875,-0.109222412109375,-0.0699462890625
1772716988569728500,1.020728515625,-0.9874267578125,-0.1070556640625,-0.067169189453125
1772716988589759700,1.040759765625,-0.9974212646484375,-0.105499267578125,-0.071258544921875
1772716988609790700,1.060790771484375,-1.006439208984375,-0.10809326171875,-0.072357177734375
1772716988629821700,1.08082177734375,-1.00738525390625,-0.1127471923828125,-0.062469482421875
1772716988649852700,1.100852783203125,-1.0072479248046875,-0.1152191162109375,-0.059112548828125
1772716988669883600,1.120883544921875,-0.9964752197265625,-0.11346435546875,-0.0620574951171875
1772716988689914600,1.14091455078125,-0.990203857421875,-0.1100616455078125,-0.0734100341796875
1772716988709945600,1.160945556640625,-0.990966796875,-0.1110382080078125,-0.075042724609375
1772716988729976600,1.1809765625,-0.9915008544921875,-0.1114349365234375,-0.069091796875
1772716988750007600,1.201007568359375,-0.9820709228515625,-0.1164703369140625,-0.058074951171875
1772716988770038500,1.22103857421875,-0.981048583984375,-0.121795654296875,-0.0573577880859375
1772716988790069500,1.241069580078125,-0.9822540283203125,-0.1185150146484375,-0.0670166015625
1772716988810100500,1.2611005859375,-0.9835662841796875,-0.11358642578125,-0.07183837890625
1772716988830131500,1.28113134765625,-0.984893798828125,-0.1098785400390625,-0.0680999755859375
1772716988850162400,1.301162353515625,-0.9972381591796875,-0.1128387451171875,-0.0661163330078125
1772716988870193400,1.321193359375,-0.9997711181640625,-0.11419677734375,-0.0668487548828125
1772716988890224400,1.341224365234375,-0.9889678955078125,-0.119873046875,-0.06982421875
1772716988910255600,1.361255615234375,-0.9725494384765625,-0.1231536865234375,-0.0660400390625
1772716988930286600,1.38128662109375,-0.9752349853515625,-0.1181488037109375,-0.0637359619140625
1772716988950317600,1.401317626953125,-0.98828125,-0.1136322021484375,-0.0695953369140625
1772716988970348500,1.4213486328125,-0.9958648681640625,-0.1065673828125,-0.075531005859375
1772716988990379500,1.441379638671875,-0.9982147216796875,-0.1004486083984375,-0.078826904296875
1772716989010410500,1.461410400390625,-1.0050201416015625,-0.097259521484375,-0.085662841796875
1772716989030441500,1.48144140625,-1.0034637451171875,-0.090057373046875,-0.0848541259765625
1772716989050472400,1.501472412109375,-1.0083465576171875,-0.09539794921875,-0.0865936279296875
1772716989070503400,1.52150341796875,-1.0110321044921875,-0.119049072265625,-0.0778656005859375
1772716989090534400,1.541534423828125,-0.9734649658203125,-0.127044677734375,-0.063629150390625
1772716989110565600,1.561565673828125,-0.948486328125,-0.134735107421875,-0.0670928955078125
1772716989130596600,1.5815966796875,-0.9769134521484375,-0.1182403564453125,-0.0615234375
1772716989150627600,1.601627685546875,-1.014312744140625,-0.1316986083984375,-0.0398406982421875
1772716989170658600,1.621658447265625,-1.013336181640625,-0.1267547607421875,-0.0514984130859375
1772716989190689500,1.641689453125,-0.9919586181640625,-0.1222076416015625,-0.062164306640625
1772716989210720500,1.661720458984375,-0.9759674072265625,-0.12457275390625,-0.0619354248046875
