time,seconds_elapsed,z,y,x
1772792024350643200,0.280643310546875,-2.5668296813964844,4.812180519104004,2.8146090507507324
1772792024370743600,0.30074365234375,-1.881368637084961,4.37360954284668,2.400223731994629
1772792024390844000,0.320843994140625,1.2111749649047852,3.649566173553467,1.8630906343460083
1772792024410944500,0.340944580078125,2.60764217376709,2.589151382446289,2.478137969970703
1772792024431044900,0.361044921875,4.063861846923828,1.7148711681365967,2.7788968086242676
1772792024451145200,0.381145263671875,3.8262434005737305,1.4966280460357666,0.7044122219085693
1772792024471245600,0.40124560546875,-2.690361976623535,2.3475868701934814,-3.602280616760254
1772792024491346200,0.42134619140625,-8.600513458251953,2.7009332180023193,-5.952491760253906
1772792024511446500,0.441446533203125,-8.707489967346191,2.1800193786621094,-6.688229560852051
1772792024531547000,0.461546875,-9.83165168762207,1.1477550268173218,-6.194777488708496
1772792024551647200,0.481647216796875,-10.639731407165527,-0.21553969383239746,-5.57819938659668
1772792024571747800,0.501747802734375,-8.994491577148438,0.7837975025177002,-8.339134216308594
1772792024591848200,0.52184814453125,-6.823716640472412,1.803861379623413,-10.42201042175293
1772792024611948500,0.541948486328125,-5.26983118057251,1.3481764793395996,-7.872759819030762
1772792024632049000,0.562048828125,-3.639847755432129,2.181490898132324,-1.963120937347412
1772792024652149800,0.582149658203125,-5.293682098388672,4.4744462966918945,5.312696933746338
1772792024672251400,0.60225146484375,-7.880941390991211,4.0695481300354,10.575716018676758
1772792024692353000,0.62235302734375,-3.955014228820801,-0.4628334045410156,10.812589645385742
1772792024712454700,0.64245458984375,15.559287071228027,-4.93088436126709,20.456470489501953
1772792024732556300,0.662556396484375,32.019081115722656,-4.449214935302734,36.304588317871094
1772792024752657700,0.68265771484375,34.72557830810547,-5.871626853942871,41.06998825073242
1772792024772759300,0.70275927734375,27.68379020690918,-12.765406608581543,34.23883056640625
1772792024792861000,0.72286083984375,28.42573356628418,-19.112934112548828,32.90644836425781
1772792024812962600,0.742962646484375,36.179317474365234,-26.163360595703125,40.443119049072266
1772792024833064200,0.763064208984375,38.79075622558594,-37.55656814575195,38.66122817993164
1772792024853165800,0.783165771484375,27.745105743408203,-50.397666931152344,37.685646057128906
1772792024873267200,0.80326708984375,9.363819122314453,-57.03021240234375,34.81892013549805
1772792024893368800,0.823368896484375,-7.904731750488281,-54.74031448364258,23.955535888671875
1772792024913470500,0.843470458984375,-16.118942260742188,-52.409698486328125,14.870075225830078
1772792024933572000,0.863572021484375,-24.9432373046875,-48.318260192871094,1.8253271579742432
1772792024953673700,0.883673828125,-30.241180419921875,-43.76023864746094,-6.157270431518555
1772792024973775400,0.903775390625,-26.483531951904297,-46.089874267578125,-13.510562896728516
1772792024993877000,0.923876953125,-38.6562614440918,-48.396671295166016,-28.08772850036621
1772792025013978600,0.943978515625,-57.78898239135742,-43.151405334472656,-31.939453125
1772792025034080300,0.964080322265625,-51.866268157958984,-42.03339767456055,-12.414643287658691
1772792025054181600,0.984181640625,-30.970680236816406,-46.24895477294922,-0.5638653635978699
1772792025074283300,1.004283203125,-18.957300186157227,-48.87748718261719,1.7946698665618896
1772792025094385000,1.024385009765625,-14.471420288085938,-47.11457061767578,5.851635932922363
1772792025114486500,1.044486572265625,-11.81561279296875,-41.714515686035156,4.71663761138916
1772792025134588200,1.064588134765625,-12.151445388793945,-37.19770812988281,0.4794187545776367
1772792025154689300,1.084689208984375,-15.496847152709961,-34.00450897216797,7.792365074157715
1772792025174789600,1.10478955078125,-20.695201873779297,-26.13611602783203,24.250041961669922
1772792025194890000,1.124889892578125,-5.867975234985352,-19.637332916259766,26.24806022644043
1772792025214990300,1.144990234375,11.988773345947266,-18.730758666992188,22.916133880615234
1772792025235090700,1.165090576171875,-20.37398910522461,-29.097145080566406,42.80511474609375
1772792025255191300,1.18519140625,33.4028434753418,-51.67893981933594,57.35985565185547
1772792025275291600,1.205291748046875,106.78915405273438,-36.72818374633789,53.89609146118164
1772792025295392000,1.22539208984375,72.94364929199219,-14.77074146270752,35.739707946777344
1772792025315492400,1.245492431640625,-8.62865161895752,-13.999646186828613,26.998611450195312
1772792025335593000,1.265593017578125,-3.773977041244507,-11.346796035766602,16.038742065429688
1772792025355693300,1.285693359375,37.68375015258789,-15.860033988952637,20.3918514251709
1772792025375793700,1.305793701171875,49.46422576904297,-25.674175262451172,34.251495361328125
1772792025395894000,1.32589404296875,37.755393981933594,-37.98412322998047,29.085315704345703
1772792025415994600,1.34599462890625,10.833322525024414,-49.39008331298828,23.149158477783203
1772792025436095000,1.366094970703125,-9.189837455749512,-49.52787399291992,17.244897842407227
1772792025456195300,1.3861953125,-16.14716339111328,-45.201629638671875,12.419197082519531
1772792025476295700,1.406295654296875,-19.18343734741211,-41.93120574951172,13.756241798400879
1772792025496396000,1.42639599609375,-25.799880981445312,-37.05818176269531,2.324404239654541
1772792025516496600,1.44649658203125,-33.862789154052734,-33.78304672241211,-4.775731563568115
