time,seconds_elapsed,z,y,x
1772790319506495000,0.058494873046875,-0.853515625,-0.60687255859375,0.0055084228515625
1772790319526529000,0.078529052734375,-0.8323822021484375,-0.597900390625,0.00848388671875
1772790319546563000,0.09856298828125,-0.8540802001953125,-0.596771240234375,0.0388031005859375
1772790319566596900,0.118596923828125,-0.858551025390625,-0.5923614501953125,0.0186920166015625
1772790319586631200,0.138631103515625,-0.8284912109375,-0.5976715087890625,0.00634765625
1772790319606665200,0.158665283203125,-0.7530975341796875,-0.628662109375,-0.016204833984375
1772790319626699000,0.178698974609375,-0.6728973388671875,-0.6654815673828125,-0.0326385498046875
1772790319646733000,0.198733154296875,-0.6801605224609375,-0.6760711669921875,-0.034820556640625
1772790319666767000,0.21876708984375,-0.688446044921875,-0.6781005859375,-0.0373077392578125
1772790319686801000,0.23880078125,-0.6597747802734375,-0.693572998046875,-0.031097412109375
1772790319706836000,0.2588359375,-0.64166259765625,-0.6921844482421875,-0.0307159423828125
1772790319726870000,0.2788701171875,-0.639434814453125,-0.6828460693359375,-0.033935546875
1772790319746904800,0.29890478515625,-0.654693603515625,-0.6713409423828125,-0.0284423828125
1772790319766939000,0.31893896484375,-0.642059326171875,-0.6599273681640625,-0.0391693115234375
1772790319786972700,0.33897265625,-0.6170654296875,-0.64794921875,-0.064422607421875
1772790319807006700,0.3590068359375,-0.5756683349609375,-0.6482696533203125,-0.0894317626953125
1772790319827041000,0.379041015625,-0.5188446044921875,-0.6531524658203125,-0.110260009765625
1772790319847074800,0.39907470703125,-0.4807891845703125,-0.6443328857421875,-0.1040802001953125
1772790319867108900,0.41910888671875,-0.434783935546875,-0.61468505859375,-0.1324615478515625
1772790319887143000,0.439142822265625,-0.3504638671875,-0.5681304931640625,-0.1810760498046875
1772790319907176700,0.4591767578125,-0.2687530517578125,-0.487396240234375,-0.209442138671875
1772790319927210800,0.479210693359375,-0.159271240234375,-0.4180145263671875,-0.2228240966796875
1772790319947244800,0.499244873046875,-0.0235443115234375,-0.3379058837890625,-0.22515869140625
1772790319967278600,0.519278564453125,0.15179443359375,-0.232330322265625,-0.15289306640625
1772790319987313000,0.53931298828125,0.2406768798828125,-0.068115234375,-0.04022216796875
1772790320007347000,0.559346923828125,0.23919677734375,0.145233154296875,0.078460693359375
1772790320027380700,0.579380615234375,0.222503662109375,0.3190460205078125,0.2001190185546875
1772790320047414800,0.599414794921875,0.3459625244140625,0.4121856689453125,0.6274566650390625
1772790320067448800,0.61944873046875,0.3737335205078125,0.4714202880859375,1.085174560546875
1772790320087482600,0.639482666015625,0.3433685302734375,0.645172119140625,1.2266998291015625
1772790320107516700,0.6595166015625,0.1707000732421875,0.7013702392578125,1.2061309814453125
1772790320127550700,0.67955078125,0.10968017578125,0.8359527587890625,1.18975830078125
1772790320147585000,0.6995849609375,0.1087646484375,0.9763946533203125,1.13238525390625
1772790320167618800,0.719618896484375,0.1569366455078125,1.223114013671875,1.0321197509765625
1772790320187652900,0.73965283203125,0.232421875,1.532012939453125,1.0214691162109375
1772790320207687000,0.75968701171875,0.3508758544921875,1.9240875244140625,1.2072906494140625
1772790320227720700,0.779720703125,0.4410858154296875,2.2162017822265625,1.4534149169921875
1772790320247754800,0.799754638671875,0.611602783203125,2.32928466796875,1.7672119140625
1772790320267788800,0.819788818359375,0.7463531494140625,2.1523895263671875,1.91339111328125
1772790320287822800,0.83982275390625,0.797393798828125,1.644744873046875,1.8397064208984375
1772790320307857700,0.859857666015625,0.75262451171875,1.2989349365234375,1.85015869140625
1772790320327891700,0.8798916015625,0.653717041015625,0.952178955078125,1.8991241455078125
